Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-01-31T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-01T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-02T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-03T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-04T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-05T00:00:00Z
Italy,IT,,,,41.87,12.57,2,0,0,2,2020-02-06T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-07T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-08T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-09T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-10T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-11T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-12T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-13T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-14T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-15T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-16T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-17T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-18T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-19T00:00:00Z
Italy,IT,,,,41.87,12.57,3,0,0,3,2020-02-20T00:00:00Z
Italy,IT,,,,41.87,12.57,20,1,0,19,2020-02-21T00:00:00Z
Italy,IT,,,,41.87,12.57,62,2,1,59,2020-02-22T00:00:00Z
Italy,IT,,,,41.87,12.57,155,3,2,150,2020-02-23T00:00:00Z
Italy,IT,,,,41.87,12.57,229,7,1,221,2020-02-24T00:00:00Z
Italy,IT,,,,41.87,12.57,322,10,1,311,2020-02-25T00:00:00Z
Italy,IT,,,,41.87,12.57,453,12,3,438,2020-02-26T00:00:00Z
Italy,IT,,,,41.87,12.57,655,17,45,593,2020-02-27T00:00:00Z
Italy,IT,,,,41.87,12.57,888,21,46,821,2020-02-28T00:00:00Z
Italy,IT,,,,41.87,12.57,1128,29,46,1053,2020-02-29T00:00:00Z
Italy,IT,,,,41.87,12.57,1694,34,83,1577,2020-03-01T00:00:00Z
Italy,IT,,,,41.87,12.57,2036,52,149,1835,2020-03-02T00:00:00Z
Italy,IT,,,,41.87,12.57,2502,79,160,2263,2020-03-03T00:00:00Z
Italy,IT,,,,41.87,12.57,3089,107,276,2706,2020-03-04T00:00:00Z
Italy,IT,,,,41.87,12.57,3858,148,414,3296,2020-03-05T00:00:00Z
Italy,IT,,,,41.87,12.57,4636,197,523,3916,2020-03-06T00:00:00Z
Italy,IT,,,,41.87,12.57,5883,233,589,5061,2020-03-07T00:00:00Z
Italy,IT,,,,41.87,12.57,7375,366,622,6387,2020-03-08T00:00:00Z
Italy,IT,,,,41.87,12.57,9172,463,724,7985,2020-03-09T00:00:00Z
Italy,IT,,,,41.87,12.57,10149,631,724,8794,2020-03-10T00:00:00Z
Italy,IT,,,,41.87,12.57,12462,827,1045,10590,2020-03-11T00:00:00Z
Italy,IT,,,,41.87,12.57,12462,827,1045,10590,2020-03-12T00:00:00Z
Italy,IT,,,,41.87,12.57,17660,1266,1439,14955,2020-03-13T00:00:00Z
Italy,IT,,,,41.87,12.57,21157,1441,1966,17750,2020-03-14T00:00:00Z
Italy,IT,,,,41.87,12.57,24747,1809,2335,20603,2020-03-15T00:00:00Z
Italy,IT,,,,41.87,12.57,27980,2158,2749,23073,2020-03-16T00:00:00Z
Italy,IT,,,,41.87,12.57,31506,2503,2941,26062,2020-03-17T00:00:00Z
Italy,IT,,,,41.87,12.57,35713,2978,4025,28710,2020-03-18T00:00:00Z
Italy,IT,,,,41.87,12.57,41035,3405,4440,33190,2020-03-19T00:00:00Z
Italy,IT,,,,41.87,12.57,47021,4032,4440,38549,2020-03-20T00:00:00Z
Italy,IT,,,,41.87,12.57,53578,4825,6072,42681,2020-03-21T00:00:00Z
Italy,IT,,,,41.87,12.57,59138,5476,7024,46638,2020-03-22T00:00:00Z
Italy,IT,,,,41.87,12.57,63927,6077,7024,50826,2020-03-23T00:00:00Z
Italy,IT,,,,41.87,12.57,69176,6820,8326,54030,2020-03-24T00:00:00Z
Italy,IT,,,,41.87,12.57,74386,7503,9362,57521,2020-03-25T00:00:00Z
Italy,IT,,,,41.87,12.57,80589,8215,10361,62013,2020-03-26T00:00:00Z
Italy,IT,,,,41.87,12.57,86498,9134,10950,66414,2020-03-27T00:00:00Z
Italy,IT,,,,41.87,12.57,92472,10023,12384,70065,2020-03-28T00:00:00Z
Italy,IT,,,,41.87,12.57,97689,10779,13030,73880,2020-03-29T00:00:00Z
Italy,IT,,,,41.87,12.57,101739,11591,14620,75528,2020-03-30T00:00:00Z
Italy,IT,,,,41.87,12.57,105792,12428,15729,77635,2020-03-31T00:00:00Z
Italy,IT,,,,41.87,12.57,110574,13155,16847,80572,2020-04-01T00:00:00Z
Italy,IT,,,,41.87,12.57,115242,13915,18278,83049,2020-04-02T00:00:00Z
Italy,IT,,,,41.87,12.57,119827,14681,19758,85388,2020-04-03T00:00:00Z
Italy,IT,,,,41.87,12.57,124632,15362,20996,88274,2020-04-04T00:00:00Z
Italy,IT,,,,41.87,12.57,128948,15887,21815,91246,2020-04-05T00:00:00Z
Italy,IT,,,,41.87,12.57,132547,16523,22837,93187,2020-04-06T00:00:00Z
Italy,IT,,,,41.87,12.57,135586,17127,24392,94067,2020-04-07T00:00:00Z
Italy,IT,,,,41.87,12.57,139422,17669,26491,95262,2020-04-08T00:00:00Z
Italy,IT,,,,41.87,12.57,143626,18279,28470,96877,2020-04-09T00:00:00Z
Italy,IT,,,,41.87,12.57,147577,18849,30455,98273,2020-04-10T00:00:00Z
Italy,IT,,,,41.87,12.57,152271,19468,32534,100269,2020-04-11T00:00:00Z
Italy,IT,,,,41.87,12.57,156363,19899,34211,102253,2020-04-12T00:00:00Z
Italy,IT,,,,41.87,12.57,159516,20465,35435,103616,2020-04-13T00:00:00Z
Italy,IT,,,,41.87,12.57,162488,21067,37130,104291,2020-04-14T00:00:00Z
Italy,IT,,,,41.87,12.57,165155,21645,38092,105418,2020-04-15T00:00:00Z
Italy,IT,,,,41.87,12.57,168941,22170,40164,106607,2020-04-16T00:00:00Z
Italy,IT,,,,41.87,12.57,172434,22745,42727,106962,2020-04-17T00:00:00Z
Italy,IT,,,,41.87,12.57,175925,23227,44927,107771,2020-04-18T00:00:00Z
Italy,IT,,,,41.87,12.57,178972,23660,47055,108257,2020-04-19T00:00:00Z
Italy,IT,,,,41.87,12.57,181228,24114,48877,108237,2020-04-20T00:00:00Z
Italy,IT,,,,41.87,12.57,183957,24648,51600,107709,2020-04-21T00:00:00Z
Italy,IT,,,,41.87,12.57,187327,25085,54543,107699,2020-04-22T00:00:00Z
Italy,IT,,,,41.87,12.57,189973,25549,57576,106848,2020-04-23T00:00:00Z
Italy,IT,,,,41.87,12.57,192994,25969,60498,106527,2020-04-24T00:00:00Z
Italy,IT,,,,41.87,12.57,195351,26384,63120,105847,2020-04-25T00:00:00Z
Italy,IT,,,,41.87,12.57,197675,26644,64928,106103,2020-04-26T00:00:00Z
Italy,IT,,,,41.87,12.57,199414,26977,66624,105813,2020-04-27T00:00:00Z
Italy,IT,,,,41.87,12.57,201505,27359,68941,105205,2020-04-28T00:00:00Z
Italy,IT,,,,41.87,12.57,203591,27682,71252,104657,2020-04-29T00:00:00Z
Italy,IT,,,,41.87,12.57,205463,27967,75945,101551,2020-04-30T00:00:00Z
Italy,IT,,,,41.87,12.57,207428,28236,78249,100943,2020-05-01T00:00:00Z
Italy,IT,,,,41.87,12.57,209328,28710,79914,100704,2020-05-02T00:00:00Z
Italy,IT,,,,41.87,12.57,210717,28884,81654,100179,2020-05-03T00:00:00Z
Italy,IT,,,,41.87,12.57,211938,29079,82879,99980,2020-05-04T00:00:00Z
Italy,IT,,,,41.87,12.57,213013,29315,85231,98467,2020-05-05T00:00:00Z
Italy,IT,,,,41.87,12.57,214457,29684,93245,91528,2020-05-06T00:00:00Z
Italy,IT,,,,41.87,12.57,215858,29958,96276,89624,2020-05-07T00:00:00Z
Italy,IT,,,,41.87,12.57,217185,30201,99023,87961,2020-05-08T00:00:00Z
Italy,IT,,,,41.87,12.57,218268,30395,103031,84842,2020-05-09T00:00:00Z
Italy,IT,,,,41.87,12.57,219070,30560,105186,83324,2020-05-10T00:00:00Z
Italy,IT,,,,41.87,12.57,219814,30739,106587,82488,2020-05-11T00:00:00Z
Italy,IT,,,,41.87,12.57,221216,30911,109039,81266,2020-05-12T00:00:00Z
Italy,IT,,,,41.87,12.57,222104,31106,112541,78457,2020-05-13T00:00:00Z
Italy,IT,,,,41.87,12.57,223096,31368,115288,76440,2020-05-14T00:00:00Z
Italy,IT,,,,41.87,12.57,223885,31610,120205,72070,2020-05-15T00:00:00Z
Italy,IT,,,,41.87,12.57,224760,31763,122810,70187,2020-05-16T00:00:00Z
Italy,IT,,,,41.87,12.57,225435,31908,125176,68351,2020-05-17T00:00:00Z
Italy,IT,,,,41.87,12.57,225886,32007,127326,66553,2020-05-18T00:00:00Z
Italy,IT,,,,41.87,12.57,226699,32169,129401,65129,2020-05-19T00:00:00Z
Italy,IT,,,,41.87,12.57,227364,32330,132282,62752,2020-05-20T00:00:00Z
Italy,IT,,,,41.87,12.57,228006,32486,134560,60960,2020-05-21T00:00:00Z
Italy,IT,,,,41.87,12.57,228658,32616,136720,59322,2020-05-22T00:00:00Z
Italy,IT,,,,41.87,12.57,229327,32735,138840,57752,2020-05-23T00:00:00Z
Italy,IT,,,,41.87,12.57,229858,32785,140479,56594,2020-05-24T00:00:00Z
Italy,IT,,,,41.87,12.57,230158,32877,141981,55300,2020-05-25T00:00:00Z
Italy,IT,,,,41.87,12.57,230555,32955,144658,52942,2020-05-26T00:00:00Z
Italy,IT,,,,41.87,12.57,231139,33072,147101,50966,2020-05-27T00:00:00Z
Italy,IT,,,,41.87,12.57,231732,33142,150604,47986,2020-05-28T00:00:00Z
Italy,IT,,,,41.87,12.57,232248,33229,152844,46175,2020-05-29T00:00:00Z
Italy,IT,,,,41.87,12.57,232664,33340,155633,43691,2020-05-30T00:00:00Z
Italy,IT,,,,41.87,12.57,232997,33415,157507,42075,2020-05-31T00:00:00Z
Italy,IT,,,,41.87,12.57,233197,33475,158355,41367,2020-06-01T00:00:00Z
Italy,IT,,,,41.87,12.57,233515,33530,160092,39893,2020-06-02T00:00:00Z
Italy,IT,,,,41.87,12.57,233836,33601,160938,39297,2020-06-03T00:00:00Z
Italy,IT,,,,41.87,12.57,234013,33689,161895,38429,2020-06-04T00:00:00Z
Italy,IT,,,,41.87,12.57,234531,33774,163781,36976,2020-06-05T00:00:00Z
Italy,IT,,,,41.87,12.57,234801,33846,165078,35877,2020-06-06T00:00:00Z
Italy,IT,,,,41.87,12.57,234998,33899,165837,35262,2020-06-07T00:00:00Z
Italy,IT,,,,41.87,12.57,235278,33964,166584,34730,2020-06-08T00:00:00Z
Italy,IT,,,,41.87,12.57,235561,34043,168646,32872,2020-06-09T00:00:00Z
Italy,IT,,,,41.87,12.57,235763,34114,169939,31710,2020-06-10T00:00:00Z
Italy,IT,,,,41.87,12.57,236142,34167,171338,30637,2020-06-11T00:00:00Z
Italy,IT,,,,41.87,12.57,236305,34223,173085,28997,2020-06-12T00:00:00Z
Italy,IT,,,,41.87,12.57,236651,34301,174865,27485,2020-06-13T00:00:00Z
Italy,IT,,,,41.87,12.57,236989,34345,176370,26274,2020-06-14T00:00:00Z
Italy,IT,,,,41.87,12.57,237290,34371,177010,25909,2020-06-15T00:00:00Z
Italy,IT,,,,41.87,12.57,237500,34405,178526,24569,2020-06-16T00:00:00Z
Italy,IT,,,,41.87,12.57,237828,34448,179455,23925,2020-06-17T00:00:00Z
Italy,IT,,,,41.87,12.57,238159,34514,180544,23101,2020-06-18T00:00:00Z
Italy,IT,,,,41.87,12.57,238011,34561,181907,21543,2020-06-19T00:00:00Z
Italy,IT,,,,41.87,12.57,238275,34610,182453,21212,2020-06-20T00:00:00Z
Italy,IT,,,,41.87,12.57,238499,34634,182893,20972,2020-06-21T00:00:00Z
Italy,IT,,,,41.87,12.57,238720,34657,183426,20637,2020-06-22T00:00:00Z
Italy,IT,,,,41.87,12.57,238833,34675,184585,19573,2020-06-23T00:00:00Z
Italy,IT,,,,41.87,12.57,239410,0,0,239410,2020-06-24T00:00:00Z
Italy,IT,,,,41.87,12.57,239706,34678,186725,18303,2020-06-25T00:00:00Z
Italy,IT,,,,41.87,12.57,239961,34708,187615,17638,2020-06-26T00:00:00Z
Italy,IT,,,,41.87,12.57,240136,34716,188584,16836,2020-06-27T00:00:00Z
Italy,IT,,,,41.87,12.57,240310,34738,188891,16681,2020-06-28T00:00:00Z
Italy,IT,,,,41.87,12.57,240436,34744,189196,16496,2020-06-29T00:00:00Z
Italy,IT,,,,41.87,12.57,240578,34767,190248,15563,2020-06-30T00:00:00Z
Italy,IT,,,,41.87,12.57,240760,34788,190717,15255,2020-07-01T00:00:00Z
