Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
Morocco,MA,,,,31.79,-7.09,1,0,0,1,2020-03-02T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1,0,0,1,2020-03-03T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1,0,0,1,2020-03-04T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2,0,0,2,2020-03-05T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2,0,0,2,2020-03-06T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2,0,0,2,2020-03-07T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2,0,0,2,2020-03-08T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2,0,0,2,2020-03-09T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3,1,0,2,2020-03-10T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5,1,0,4,2020-03-11T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6,1,0,5,2020-03-12T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7,1,1,5,2020-03-13T00:00:00Z
Morocco,MA,,,,31.79,-7.09,17,1,1,15,2020-03-14T00:00:00Z
Morocco,MA,,,,31.79,-7.09,28,1,1,26,2020-03-15T00:00:00Z
Morocco,MA,,,,31.79,-7.09,29,1,1,27,2020-03-16T00:00:00Z
Morocco,MA,,,,31.79,-7.09,38,2,1,35,2020-03-17T00:00:00Z
Morocco,MA,,,,31.79,-7.09,49,2,1,46,2020-03-18T00:00:00Z
Morocco,MA,,,,31.79,-7.09,63,2,1,60,2020-03-19T00:00:00Z
Morocco,MA,,,,31.79,-7.09,77,3,1,73,2020-03-20T00:00:00Z
Morocco,MA,,,,31.79,-7.09,96,3,3,90,2020-03-21T00:00:00Z
Morocco,MA,,,,31.79,-7.09,115,4,3,108,2020-03-22T00:00:00Z
Morocco,MA,,,,31.79,-7.09,143,4,3,136,2020-03-23T00:00:00Z
Morocco,MA,,,,31.79,-7.09,170,5,6,159,2020-03-24T00:00:00Z
Morocco,MA,,,,31.79,-7.09,225,6,7,212,2020-03-25T00:00:00Z
Morocco,MA,,,,31.79,-7.09,275,11,8,256,2020-03-26T00:00:00Z
Morocco,MA,,,,31.79,-7.09,345,23,11,311,2020-03-27T00:00:00Z
Morocco,MA,,,,31.79,-7.09,402,25,11,366,2020-03-28T00:00:00Z
Morocco,MA,,,,31.79,-7.09,479,26,13,440,2020-03-29T00:00:00Z
Morocco,MA,,,,31.79,-7.09,556,33,15,508,2020-03-30T00:00:00Z
Morocco,MA,,,,31.79,-7.09,617,36,24,557,2020-03-31T00:00:00Z
Morocco,MA,,,,31.79,-7.09,654,39,29,586,2020-04-01T00:00:00Z
Morocco,MA,,,,31.79,-7.09,708,44,31,633,2020-04-02T00:00:00Z
Morocco,MA,,,,31.79,-7.09,791,48,57,686,2020-04-03T00:00:00Z
Morocco,MA,,,,31.79,-7.09,919,59,66,794,2020-04-04T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1021,70,76,875,2020-04-05T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1120,80,81,959,2020-04-06T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1184,90,93,1001,2020-04-07T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1275,93,97,1085,2020-04-08T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1374,97,109,1168,2020-04-09T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1448,107,122,1219,2020-04-10T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1545,111,146,1288,2020-04-11T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1661,118,177,1366,2020-04-12T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1763,126,203,1434,2020-04-13T00:00:00Z
Morocco,MA,,,,31.79,-7.09,1888,126,217,1545,2020-04-14T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2024,127,229,1668,2020-04-15T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2283,130,249,1904,2020-04-16T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2564,135,281,2148,2020-04-17T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2685,137,314,2234,2020-04-18T00:00:00Z
Morocco,MA,,,,31.79,-7.09,2855,141,327,2387,2020-04-19T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3046,143,350,2553,2020-04-20T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3209,145,393,2671,2020-04-21T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3446,149,417,2880,2020-04-22T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3568,155,456,2957,2020-04-23T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3758,158,486,3114,2020-04-24T00:00:00Z
Morocco,MA,,,,31.79,-7.09,3897,159,537,3201,2020-04-25T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4065,161,593,3311,2020-04-26T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4120,162,695,3263,2020-04-27T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4252,165,778,3309,2020-04-28T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4321,168,928,3225,2020-04-29T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4423,170,984,3269,2020-04-30T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4569,171,1083,3315,2020-05-01T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4729,173,1256,3300,2020-05-02T00:00:00Z
Morocco,MA,,,,31.79,-7.09,4903,174,1438,3291,2020-05-03T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5053,179,1653,3221,2020-05-04T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5219,181,1838,3200,2020-05-05T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5408,183,2017,3208,2020-05-06T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5548,183,2179,3186,2020-05-07T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5711,186,2324,3201,2020-05-08T00:00:00Z
Morocco,MA,,,,31.79,-7.09,5910,186,2461,3263,2020-05-09T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6063,188,2554,3321,2020-05-10T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6281,188,2811,3282,2020-05-11T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6418,188,2991,3239,2020-05-12T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6512,188,3131,3193,2020-05-13T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6607,190,3310,3107,2020-05-14T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6652,190,3400,3062,2020-05-15T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6741,192,3487,3062,2020-05-16T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6870,192,3660,3018,2020-05-17T00:00:00Z
Morocco,MA,,,,31.79,-7.09,6952,192,3758,3002,2020-05-18T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7023,193,3901,2929,2020-05-19T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7133,194,4098,2841,2020-05-20T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7211,196,4280,2735,2020-05-21T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7332,197,4377,2758,2020-05-22T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7406,198,4638,2570,2020-05-23T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7433,199,4703,2531,2020-05-24T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7532,200,4774,2558,2020-05-25T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7577,202,4881,2494,2020-05-26T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7601,202,4978,2421,2020-05-27T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7643,202,5195,2246,2020-05-28T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7714,202,5271,2241,2020-05-29T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7780,204,5401,2175,2020-05-30T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7807,205,5459,2143,2020-05-31T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7833,205,5893,1735,2020-06-01T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7866,206,6410,1250,2020-06-02T00:00:00Z
Morocco,MA,,,,31.79,-7.09,7922,206,6866,850,2020-06-03T00:00:00Z
Morocco,MA,,,,31.79,-7.09,8003,208,7195,600,2020-06-04T00:00:00Z
Morocco,MA,,,,31.79,-7.09,8071,208,7268,595,2020-06-05T00:00:00Z
Morocco,MA,,,,31.79,-7.09,8151,208,7315,628,2020-06-06T00:00:00Z
